"Mon Nov 21 10:14:42 2016",,,,"Spectrum:  PV258_1.MCA",,,,"Logfile:  PV258_1.LOG"
"PV258_1.CNF               ",,,,,
"Internal Version:",,"v512",,
"Acquisition Date:",, "09-12-2013",,"07:51:59:000",,
"Elapsed Live Time:",,3600.00,"sec",,"Elapsed True Time:",,3600.00,"sec"

"Corrections:",,"none",,

" Energy","Sigma","Position","Sigma","CHSQ","SIGMA","   Ampl.","Sigma","Width","Sigma","Fwidth","Sigma","    Area","Sigma","    A","Sigma","    B","Sigma"," Bkground","    Sigma"," Slope","Sigma"," Curv","Sigma"," Step","Sigma"," Tail","Sigma","    V","Sigma"," Left","Right","AvgBkg"
   73.063,  0.057,   271.070,  0.211,   0.9,    1.9,       212,     18,  4.861,  0.228,   5.097,  0.337,      1386,    113,  0.600,  0.016,  1.000,  0.011,   1078.240,      9.885,   0.401,  0.356,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,    251,    295,    1087
   75.235,  0.035,   279.115,  0.130,   0.9,    1.9,       387,     17,  4.861,  0.228,   5.097,  0.272,      2532,    130,  0.600,  0.016,  1.000,  0.011,   1078.240,      9.885,   0.401,  0.356,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,    251,    295,    1087
   85.000,  0.079,   315.277,  0.293,   1.3,    2.0,       232,     24,  5.829,  0.717,   5.829,  0.803,      1441,    186,  0.266,  0.818,  0.186,  7.451,   1056.464,     10.905,   3.603,  0.511,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,    295,    331,    1125
  103.923,  0.163,   385.352,  0.602,   1.6,    1.9,       107,     28,  4.273,  0.831,   4.273,  1.047,       485,    133,  0.264,  1.308,  0.201,  8.552,   1241.388,     12.508,  -0.452,  0.467,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,    364,    409,    1231
  106.494,  0.147,   394.872,  0.543,   1.6,    1.9,       122,     32,  4.273,  0.831,   4.273,  1.047,       554,    155,  0.264,  1.308,  0.201,  8.552,   1241.388,     12.508,  -0.452,  0.467,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,    364,    409,    1231
  140.700,  0.009,   521.541,  0.032,   1.7,    2.1,      6410,    110,  4.875,  0.063,   4.952,  0.095,     37564,    426,  0.600,  0.001,  0.668,  0.084,   1217.751,    102.707,  -2.853,  3.189,  0.000,  0.000,  0.017,  0.014,  0.000,  0.000,  8.093, 62.187,    502,    538,    1221
  249.957,  0.161,   926.138,  0.595,   1.8,    2.0,       174,     60,  4.491,  1.158,   4.491,  1.459,       850,    168,  0.300,  0.180,  0.447,  2.917,   1095.497,     14.995,  -2.733,  0.686,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,    905,    941,    1044
  307.120,  0.048,  1137.820,  0.177,   0.8,    2.0,       238,     15,  5.409,  0.408,   5.671,  0.475,      1729,    125,  0.600,  0.001,  1.000,  0.000,    811.038,      8.152,  -0.033,  0.384,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,   1118,   1154,     810
  346.913,  0.075,  1285.179,  0.277,   1.0,    2.0,       260,     38,  4.708,  0.475,   4.892,  0.639,      1589,    142,  0.499,  0.635,  1.000,  0.003,    722.666,      9.651,  -0.385,  0.413,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,   1266,   1302,     715
  510.858,  0.081,  1892.293,  0.301,   1.2,    2.0,      1272,    107,  8.228,  0.005,   8.627,  0.408,     14075,   1213,  0.600,  0.012,  1.000,  0.012,    552.135,     84.294,   2.537,  3.287, -0.066,  0.057, -0.042,  0.043,  0.100,  0.001,  2.516,  0.504,   1873,   1915,     569
  512.122,  0.130,  1896.975,  0.481,   1.2,    2.0,       721,    109,  8.228,  0.005,   8.627,  0.733,      7974,   1192,  0.600,  0.012,  1.000,  0.012,    552.135,     84.294,   2.537,  3.287, -0.066,  0.057, -0.042,  0.043,  0.100,  0.001,  2.516,  0.504,   1873,   1915,     569
  529.968,  0.111,  1963.062,  0.411,   1.0,    2.0,       105,     11,  7.557,  1.044,   7.923,  1.191,      1071,    156,  0.600,  0.001,  1.000,  0.001,    530.895,      7.930,  -0.146,  0.359,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,   1941,   1977,     528
  843.887,  0.030,  3125.552,  0.109,   1.1,    1.8,      1304,     61,  7.057,  0.154,   7.057,  0.262,     10257,    155,  0.600,  0.030,  0.458,  0.200,    448.065,      6.633,  -0.313,  0.178,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,   3101,   3157,     439
  847.001,  0.072,  3137.081,  0.266,   1.1,    1.8,       155,     12,  7.057,  0.154,   7.057,  0.366,      1221,     91,  0.600,  0.030,  0.458,  0.200,    448.065,      6.633,  -0.313,  0.178,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,   3101,   3157,     439
  857.971,  0.087,  3177.706,  0.322,   0.9,    2.0,       128,      9,  9.053,  0.000,   9.492,  0.364,      1557,    106,  0.600,  0.000,  1.000,  0.000,    431.785,      5.641,   0.279,  0.223,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,   3156,   3196,     438
 1014.470,  0.058,  3757.244,  0.214,   0.9,    1.9,       430,     31,  6.966,  0.350,   7.062,  0.463,      3534,    162,  0.249,  0.308,  1.000,  0.009,    546.461,      7.483,  -0.300,  0.253,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,   3732,   3777,     539
 1293.443,  0.017,  4790.324,  0.064,   1.0,    1.9,      1295,     36,  7.084,  0.121,   7.242,  0.175,     11283,    164,  0.597,  0.143,  0.733,  0.080,    177.906,     24.991,  -1.009,  0.611,  0.000,  0.000, -0.027,  0.018,  0.000,  0.001, 17.094, 32.235,   4765,   4810,     134
 1368.467,  0.003,  5068.149,  0.011,   1.3,    2.0,     26551,     98,  7.403,  0.019,   7.435,  0.094,    226690,    536,  0.600,  0.000,  0.555,  0.012,    176.550,     30.760,  -3.406,  1.310,  0.039,  0.022, -0.001,  0.001,  0.000,  0.000,  3.837,  0.711,   5043,   5088,     105
 1435.707,  0.144,  5317.152,  0.532,   1.2,    1.9,        36,      9,  5.467,  1.574,   5.467,  1.749,       207,     58,  0.119,  8.654,  0.179, 13.550,    105.491,      3.053,  -0.010,  0.117,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,   5292,   5337,     105
 1731.636,  0.009,  6413.021,  0.032,   0.9,    1.8,      3041,     27,  7.980,  0.061,   8.119,  0.094,     29343,    202,  0.600,  0.000,  0.684,  0.040,    152.532,     24.395,  -0.208,  0.504,  0.000,  0.000, -0.013,  0.007,  0.000,  0.000, 20.423, 17.647,   6383,   6437,     125
