"Wed Nov 23 14:13:33 2016",,,,"Spectrum:  PV258_2.MCA",,,,"Logfile:  PV258_2.LOG"
"PV258_2.CNF               ",,,,,
"Internal Version:",,"v512",,
"Acquisition Date:",, "09-19-2013",,"07:55:46:000",,
"Elapsed Live Time:",,18000.00,"sec",,"Elapsed True Time:",,18000.00,"sec"

"Corrections:",,"none",,

" Energy","Sigma","Position","Sigma","CHSQ","SIGMA","   Ampl.","Sigma","Width","Sigma","Fwidth","Sigma","    Area","Sigma","    A","Sigma","    B","Sigma"," Bkground","    Sigma"," Slope","Sigma"," Curv","Sigma"," Step","Sigma"," Tail","Sigma","    V","Sigma"," Left","Right","AvgBkg"
   63.474,  0.082,   235.561,  0.302,   0.9,    2.0,        33,      7,  2.956,  0.001,   2.956,  0.341,       104,     21,  0.259,  1.110,  0.176,  6.541,     49.693,      1.908,   0.252,  0.091,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,    215,    251,      54
   73.126,  0.079,   271.305,  0.292,   1.2,    1.7,        47,     10,  2.968,  0.001,   3.001,  0.377,       164,     29,  0.489,  1.180,  0.672,  0.559,     62.603,      2.320,   0.071,  0.047,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,    252,    332,      66
   75.301,  0.056,   279.361,  0.206,   1.2,    1.7,       104,     18,  2.968,  0.001,   3.001,  0.302,       362,     40,  0.489,  1.180,  0.672,  0.559,     62.603,      2.320,   0.071,  0.047,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,    252,    332,      66
   81.324,  0.086,   301.663,  0.320,   1.2,    1.7,        32,      8,  2.968,  0.001,   3.001,  0.434,       112,     26,  0.489,  1.180,  0.672,  0.559,     62.603,      2.320,   0.071,  0.047,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,    252,    332,      66
   85.080,  0.103,   315.572,  0.381,   1.2,    1.7,        34,      8,  2.968,  0.001,   3.001,  0.413,       121,     27,  0.489,  1.180,  0.672,  0.559,     62.603,      2.320,   0.071,  0.047,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,    252,    332,      66
   99.871,  0.075,   370.346,  0.276,   1.1,    1.8,        51,      7,  3.526,  0.208,   3.526,  0.349,       191,     27,  0.271,  0.249,  0.193,  3.789,     64.313,      2.105,  -0.100,  0.058,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,    350,    411,      61
  104.042,  0.038,   385.791,  0.141,   1.1,    1.8,       111,      9,  3.526,  0.208,   3.526,  0.269,       418,     34,  0.271,  0.249,  0.193,  3.789,     64.313,      2.105,  -0.100,  0.058,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,    350,    411,      61
  106.413,  0.030,   394.572,  0.111,   1.1,    1.8,       131,      9,  3.526,  0.208,   3.526,  0.261,       493,     33,  0.271,  0.249,  0.193,  3.789,     64.313,      2.105,  -0.100,  0.058,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,    350,    411,      61
  140.612,  0.075,   521.215,  0.276,   1.1,    2.0,        39,      7,  3.255,  0.605,   3.413,  0.712,       172,     31,  0.600,  0.000,  1.000,  0.002,     58.123,      2.411,   0.043,  0.107,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,    501,    537,      59
  162.906,  0.063,   603.774,  0.234,   1.2,    2.0,        61,      9,  3.418,  0.547,   3.418,  0.626,       223,     32,  0.262,  1.234,  0.170,  8.718,     60.956,      2.400,  -0.161,  0.105,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,    584,    620,      58
